District,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Kupwara,158438.0,13150.354000000001,51809.226,,,
Badgam,160649.0,6265.311,78718.01,27190.0,706.94,16993.75
Leh(Ladakh),36920.0,775.32,16909.359999999997,17474.0,192.21400000000003,7583.716
Kargil,40370.0,1412.95,9163.99,7774.0,93.288,2316.652
Punch,132139.0,3171.3360000000002,45852.23300000001,15269.0,122.152,10902.066
Rajouri,196070.0,5293.89,81369.05,17508.0,297.636,13831.320000000002
Kathua,181374.0,6348.090000000001,107010.65999999999,33473.0,1037.663,23196.788999999997
Baramula,210543.0,11158.779,100639.55399999999,48932.0,2446.6,29554.928
Bandipore,80521.0,5958.554000000001,30517.459,17555.0,754.8649999999999,11182.535
Srinagar,4518.0,284.634,2484.9,257721.0,5669.862000000001,190198.098
Ganderbal,63788.0,6059.86,26663.384,13558.0,610.11,9802.434
Pulwama,147520.0,6785.92,76857.92,21703.0,651.09,11719.62
Shupiyan,75616.0,4461.344,45596.448,5272.0,173.976,3226.464
Anantnag,207067.0,10560.417,105190.03600000001,70666.0,2190.646,47840.882000000005
Kulgam,95952.0,4509.744,43754.112,25178.0,1057.476,13218.45
Doda,122267.0,1956.272,43771.585999999996,11350.0,329.15,8262.8
Ramban,84281.0,1769.901,33712.4,,,
Kishtwar,72378.0,2460.8520000000003,30977.784,5993.0,41.95099999999999,5130.008
Udhampur,148664.0,2973.28,77899.936,34696.0,624.528,27930.280000000002
Reasi,95572.0,1433.58,37846.512,12261.0,134.871,7209.468
Jammu,254566.0,12473.734,142811.526,248043.0,8433.462000000001,181071.38999999998
Samba,94247.0,3110.1510000000003,62108.773,19989.0,219.87900000000002,16091.145
Chamba,186395.0,4287.085,107549.91500000001,13836.0,96.85199999999999,10888.932
Kangra,588321.0,8236.493999999999,423591.12,39007.0,624.112,30230.425
Lahul AND Spiti,17434.0,,,0.0,,
Kullu,167995.0,2015.94,118268.48000000001,20709.0,269.21700000000004,16712.163
Mandi,431129.0,6898.064,297047.88100000005,31696.0,221.87199999999999,25325.104000000003
